unit_id,created_at,golden,id,missed,started_at,tainted,channel,trust,worker_id,country,region,city,ip,relevant2brexit,opinion,tweet_id,relevant2brexit_gold,tweet,opinion_gold
2662117782,2/28/2020 20:42,FALSE,5487439015,,2/28/2020 20:41,FALSE,clixsense,0.8421,45305979,VEN,11,Blanquillo,190.205.214.150,yes,1,1.22446E+18,,"Right wing governments are successfully vilifying and censoring the press. And their supporters are totally ok with this this.

We live in a truly dark time. We must stop this from being considered normal. Keep fighting and resisting!

#Brexit #Trump #gop",
2662117782,2/28/2020 20:43,FALSE,5487441361,,2/28/2020 20:41,FALSE,feca,0.7895,45303254,VEN,25,Caracas,186.167.243.159,no,,1.22446E+18,,"Right wing governments are successfully vilifying and censoring the press. And their supporters are totally ok with this this.

We live in a truly dark time. We must stop this from being considered normal. Keep fighting and resisting!

#Brexit #Trump #gop",
2662117782,2/28/2020 20:53,FALSE,5487468168,,2/28/2020 20:51,FALSE,clixsense,0.7368,39592819,TUR,35,Izmir,85.107.88.123,yes,1,1.22446E+18,,"Right wing governments are successfully vilifying and censoring the press. And their supporters are totally ok with this this.

We live in a truly dark time. We must stop this from being considered normal. Keep fighting and resisting!

#Brexit #Trump #gop",
2662117782,2/28/2020 21:08,FALSE,5487485453,,2/28/2020 21:07,FALSE,feca,0.7179,45486427,VEN,25,Caracas,201.209.224.79,yes,-1,1.22446E+18,,"Right wing governments are successfully vilifying and censoring the press. And their supporters are totally ok with this this.

We live in a truly dark time. We must stop this from being considered normal. Keep fighting and resisting!

#Brexit #Trump #gop",
2662117782,2/28/2020 21:20,FALSE,5487498515,,2/28/2020 21:17,FALSE,feca,0.7143,45492204,EGY,11,Cairo,41.35.176.204,yes,1,1.22446E+18,,"Right wing governments are successfully vilifying and censoring the press. And their supporters are totally ok with this this.

We live in a truly dark time. We must stop this from being considered normal. Keep fighting and resisting!

#Brexit #Trump #gop",
2662117783,2/28/2020 21:19,FALSE,5487498005,,2/28/2020 21:18,FALSE,instagc,0.7833,45351233,GBR,I3,Gillingham,94.11.188.244,yes,1,1.22442E+18,,"What an absolute disgrace @itvnews #ITV are!
It is actually Good that the Traitorous #FakeNews #MSM are showing their true colours, as they need to be exposed for their Anti #British, Anti #Democracy Anti #Sovereignty, Anti #Brexit  &amp; years of PRO #EU Foulness. https://t.co/cuvefBQIz7",
2662117783,2/28/2020 21:19,FALSE,5487498067,,2/28/2020 21:18,FALSE,feca,0.8571,45257765,VEN,13,Barquisimeto,201.248.201.205,yes,1,1.22442E+18,,"What an absolute disgrace @itvnews #ITV are!
It is actually Good that the Traitorous #FakeNews #MSM are showing their true colours, as they need to be exposed for their Anti #British, Anti #Democracy Anti #Sovereignty, Anti #Brexit  &amp; years of PRO #EU Foulness. https://t.co/cuvefBQIz7",
2662117783,2/28/2020 21:20,FALSE,5487498877,,2/28/2020 21:18,FALSE,feca,1,45662426,VEN,6,Puerto Ordaz,190.204.112.123,yes,-1,1.22442E+18,,"What an absolute disgrace @itvnews #ITV are!
It is actually Good that the Traitorous #FakeNews #MSM are showing their true colours, as they need to be exposed for their Anti #British, Anti #Democracy Anti #Sovereignty, Anti #Brexit  &amp; years of PRO #EU Foulness. https://t.co/cuvefBQIz7",
2662117783,2/28/2020 21:22,FALSE,5487501071,,2/28/2020 21:18,FALSE,feca,0.85,45166612,GRC,,,178.59.77.85,yes,1,1.22442E+18,,"What an absolute disgrace @itvnews #ITV are!
It is actually Good that the Traitorous #FakeNews #MSM are showing their true colours, as they need to be exposed for their Anti #British, Anti #Democracy Anti #Sovereignty, Anti #Brexit  &amp; years of PRO #EU Foulness. https://t.co/cuvefBQIz7",
2662117783,2/28/2020 21:25,FALSE,5487503544,,2/28/2020 21:19,FALSE,neodev,0.9167,45163622,VEN,3,Arichuna,190.38.66.47,yes,1,1.22442E+18,,"What an absolute disgrace @itvnews #ITV are!
It is actually Good that the Traitorous #FakeNews #MSM are showing their true colours, as they need to be exposed for their Anti #British, Anti #Democracy Anti #Sovereignty, Anti #Brexit  &amp; years of PRO #EU Foulness. https://t.co/cuvefBQIz7",
